filename,expiry_date,freshness_class
BEANS\BEANS0096.png,2025-07-29,fresh
BEANS\BEANS0097.png,2025-08-02,fresh
BEANS\BEANS0098.png,2025-08-12,fresh
BEANS\BEANS0099.png,2025-06-29,expired
BEANS\BEANS0100.png,2025-07-11,expiring_soon
BEANS\BEANS0101.png,2025-06-24,expired
BEANS\BEANS0102.png,2025-08-29,fresh
BEANS\BEANS0103.png,2025-07-03,expired
BEANS\BEANS0104.png,2025-07-16,expiring_soon
BEANS\BEANS0105.png,2025-07-03,expired
BEANS\BEANS0106.png,2025-07-31,fresh
BEANS\BEANS0107.png,2025-09-04,fresh
BEANS\BEANS0108.png,2025-08-10,fresh
BEANS\BEANS0109.png,2025-08-11,fresh
BEANS\BEANS0110.png,2025-07-20,expiring_soon
BEANS\BEANS0111.png,2025-07-17,expiring_soon
BEANS\BEANS0112.png,2025-07-03,expired
BEANS\BEANS0113.png,2025-07-05,expired
BEANS\BEANS0114.png,2025-08-19,fresh
BEANS\BEANS0115.png,2025-07-17,expiring_soon
BEANS\BEANS0116.png,2025-07-16,expiring_soon
BEANS\BEANS0117.png,2025-08-05,fresh
CAKE\CAKE0000.png,2025-09-01,fresh
CAKE\CAKE0001.png,2025-07-06,expired
CAKE\CAKE0002.png,2025-07-14,expiring_soon
CAKE\CAKE0003.png,2025-07-12,expiring_soon
CAKE\CAKE0004.png,2025-08-05,fresh
CAKE\CAKE0005.png,2025-08-11,fresh
CAKE\CAKE0006.png,2025-09-04,fresh
CAKE\CAKE0007.png,2025-07-29,fresh
CAKE\CAKE0008.png,2025-08-31,fresh
CAKE\CAKE0009.png,2025-07-07,expired
CAKE\CAKE0010.png,2025-07-22,expiring_soon
CAKE\CAKE0011.png,2025-08-26,fresh
CAKE\CAKE0012.png,2025-09-05,fresh
CAKE\CAKE0013.png,2025-08-18,fresh
CAKE\CAKE0014.png,2025-08-09,fresh
CAKE\CAKE0015.png,2025-07-06,expired
CAKE\CAKE0016.png,2025-07-19,expiring_soon
CAKE\CAKE0017.png,2025-07-10,expiring_soon
CAKE\CAKE0018.png,2025-08-05,fresh
CAKE\CAKE0019.png,2025-07-30,fresh
CAKE\CAKE0020.png,2025-08-09,fresh
CAKE\CAKE0021.png,2025-08-17,fresh
CAKE\CAKE0022.png,2025-07-07,expired
CAKE\CAKE0023.png,2025-06-23,expired
CAKE\CAKE0024.png,2025-07-21,expiring_soon
CAKE\CAKE0025.png,2025-07-23,expiring_soon
CAKE\CAKE0026.png,2025-08-11,fresh
CAKE\CAKE0027.png,2025-08-16,fresh
CAKE\CAKE0028.png,2025-08-17,fresh
CAKE\CAKE0029.png,2025-08-12,fresh
CAKE\CAKE0030.png,2025-08-27,fresh
CAKE\CAKE0031.png,2025-07-19,expiring_soon
CAKE\CAKE0032.png,2025-08-22,fresh
CAKE\CAKE0033.png,2025-08-07,fresh
CAKE\CAKE0034.png,2025-08-09,fresh
CAKE\CAKE0035.png,2025-07-04,expired
CAKE\CAKE0036.png,2025-07-21,expiring_soon
CAKE\CAKE0037.png,2025-07-01,expired
CAKE\CAKE0038.png,2025-07-20,expiring_soon
CAKE\CAKE0039.png,2025-08-12,fresh
CAKE\CAKE0040.png,2025-07-24,fresh
CAKE\CAKE0041.png,2025-07-23,expiring_soon
CAKE\CAKE0042.png,2025-06-23,expired
CAKE\CAKE0043.png,2025-08-04,fresh
CAKE\CAKE0044.png,2025-08-28,fresh
CAKE\CAKE0045.png,2025-08-16,fresh
CAKE\CAKE0046.png,2025-08-25,fresh
CAKE\CAKE0047.png,2025-09-01,fresh
CAKE\CAKE0048.png,2025-07-05,expired
CAKE\CAKE0049.png,2025-08-08,fresh
CAKE\CAKE0050.png,2025-07-24,fresh
CAKE\CAKE0051.png,2025-07-02,expired
CAKE\CAKE0052.png,2025-08-09,fresh
CAKE\CAKE0053.png,2025-08-29,fresh
CAKE\CAKE0054.png,2025-06-25,expired
CAKE\CAKE0055.png,2025-07-16,expiring_soon
CAKE\CAKE0056.png,2025-06-25,expired
CAKE\CAKE0057.png,2025-09-04,fresh
CAKE\CAKE0058.png,2025-06-27,expired
CAKE\CAKE0059.png,2025-08-09,fresh
CAKE\CAKE0060.png,2025-07-08,expiring_soon
CAKE\CAKE0061.png,2025-06-25,expired
CAKE\CAKE0062.png,2025-07-17,expiring_soon
CAKE\CAKE0063.png,2025-06-25,expired
CAKE\CAKE0064.png,2025-07-27,fresh
CAKE\CAKE0065.png,2025-07-31,fresh
CAKE\CAKE0066.png,2025-08-29,fresh
CAKE\CAKE0067.png,2025-06-27,expired
CAKE\CAKE0068.png,2025-06-29,expired
CAKE\CAKE0069.png,2025-08-01,fresh
CAKE\CAKE0070.png,2025-08-19,fresh
CAKE\CAKE0071.png,2025-08-17,fresh
CAKE\CAKE0072.png,2025-08-23,fresh
CAKE\CAKE0073.png,2025-08-03,fresh
CAKE\CAKE0074.png,2025-08-24,fresh
CAKE\CAKE0075.png,2025-08-20,fresh
CAKE\CAKE0076.png,2025-07-01,expired
CAKE\CAKE0077.png,2025-08-28,fresh
CAKE\CAKE0078.png,2025-08-05,fresh
CAKE\CAKE0079.png,2025-06-29,expired
CAKE\CAKE0080.png,2025-08-07,fresh
CAKE\CAKE0081.png,2025-08-25,fresh
CAKE\CAKE0082.png,2025-08-03,fresh
CAKE\CAKE0083.png,2025-08-27,fresh
CAKE\CAKE0084.png,2025-07-02,expired
CAKE\CAKE0085.png,2025-07-26,fresh
CAKE\CAKE0086.png,2025-07-10,expiring_soon
CAKE\CAKE0087.png,2025-08-09,fresh
CAKE\CAKE0088.png,2025-07-31,fresh
CAKE\CAKE0089.png,2025-08-03,fresh
CAKE\CAKE0090.png,2025-07-31,fresh
CAKE\CAKE0091.png,2025-08-03,fresh
CAKE\CAKE0092.png,2025-08-13,fresh
CAKE\CAKE0093.png,2025-06-26,expired
CAKE\CAKE0094.png,2025-08-06,fresh
CAKE\CAKE0095.png,2025-08-28,fresh
CAKE\CAKE0096.png,2025-08-14,fresh
CAKE\CAKE0097.png,2025-07-02,expired
CAKE\CAKE0098.png,2025-06-29,expired
CAKE\CAKE0099.png,2025-07-30,fresh
CAKE\CAKE0100.png,2025-07-05,expired
CAKE\CAKE0101.png,2025-07-11,expiring_soon
CAKE\CAKE0102.png,2025-07-05,expired
CAKE\CAKE0103.png,2025-08-30,fresh
CAKE\CAKE0104.png,2025-07-28,fresh
CAKE\CAKE0105.png,2025-08-27,fresh
CAKE\CAKE0106.png,2025-07-31,fresh
CAKE\CAKE0107.png,2025-09-05,fresh
CAKE\CAKE0108.png,2025-09-04,fresh
CAKE\CAKE0109.png,2025-07-11,expiring_soon
CAKE\CAKE0110.png,2025-07-02,expired
CAKE\CAKE0111.png,2025-06-25,expired
CAKE\CAKE0112.png,2025-06-28,expired
CAKE\CAKE0113.png,2025-06-28,expired
CAKE\CAKE0114.png,2025-08-17,fresh
CAKE\CAKE0115.png,2025-08-04,fresh
CAKE\CAKE0116.png,2025-08-11,fresh
CAKE\CAKE0117.png,2025-08-08,fresh
CAKE\CAKE0118.png,2025-08-21,fresh
CAKE\CAKE0119.png,2025-07-24,fresh
CAKE\CAKE0120.png,2025-06-30,expired
CAKE\CAKE0121.png,2025-07-15,expiring_soon
CAKE\CAKE0122.png,2025-08-16,fresh
CAKE\CAKE0123.png,2025-07-11,expiring_soon
CAKE\CAKE0124.png,2025-09-01,fresh
CAKE\CAKE0125.png,2025-08-13,fresh
CAKE\CAKE0126.png,2025-08-05,fresh
CAKE\CAKE0127.png,2025-08-01,fresh
CAKE\CAKE0128.png,2025-08-27,fresh
CAKE\CAKE0129.png,2025-08-08,fresh
CAKE\CAKE0130.png,2025-08-22,fresh
CAKE\CAKE0131.png,2025-08-05,fresh
CAKE\CAKE0132.png,2025-07-18,expiring_soon
CAKE\CAKE0133.png,2025-07-25,fresh
CAKE\CAKE0134.png,2025-07-17,expiring_soon
CAKE\CAKE0135.png,2025-08-08,fresh
CAKE\CAKE0136.png,2025-08-17,fresh
CAKE\CAKE0137.png,2025-07-20,expiring_soon
CAKE\CAKE0138.png,2025-07-04,expired
CAKE\CAKE0139.png,2025-08-09,fresh
CAKE\CAKE0140.png,2025-07-29,fresh
CAKE\CAKE0141.png,2025-08-16,fresh
CAKE\CAKE0142.png,2025-09-04,fresh
CAKE\CAKE0143.png,2025-07-07,expired
CAKE\CAKE0144.png,2025-08-31,fresh
CAKE\CAKE0145.png,2025-08-19,fresh
CAKE\CAKE0146.png,2025-08-31,fresh
CAKE\CAKE0147.png,2025-07-03,expired
CAKE\CAKE0148.png,2025-08-07,fresh
CAKE\CAKE0149.png,2025-08-14,fresh
CAKE\CAKE0150.png,2025-08-08,fresh
CAKE\CAKE0151.png,2025-07-10,expiring_soon
CAKE\CAKE0152.png,2025-06-28,expired
CAKE\CAKE0153.png,2025-08-07,fresh
CAKE\CAKE0154.png,2025-07-23,expiring_soon
CAKE\CAKE0155.png,2025-06-23,expired
CAKE\CAKE0156.png,2025-08-09,fresh
CAKE\CAKE0157.png,2025-07-08,expiring_soon
CAKE\CAKE0158.png,2025-07-16,expiring_soon
CAKE\CAKE0159.png,2025-08-27,fresh
CAKE\CAKE0160.png,2025-07-30,fresh
CANDY\CANDY0000.png,2025-09-03,fresh
CANDY\CANDY0001.png,2025-08-02,fresh
CANDY\CANDY0002.png,2025-07-16,expiring_soon
CANDY\CANDY0003.png,2025-07-27,fresh
CANDY\CANDY0004.png,2025-09-06,fresh
CANDY\CANDY0005.png,2025-07-31,fresh
CANDY\CANDY0006.png,2025-08-08,fresh
CANDY\CANDY0007.png,2025-08-25,fresh
CANDY\CANDY0008.png,2025-06-25,expired
CANDY\CANDY0009.png,2025-06-29,expired
CANDY\CANDY0010.png,2025-08-15,fresh
CANDY\CANDY0011.png,2025-08-31,fresh
CANDY\CANDY0012.png,2025-07-08,expiring_soon
CANDY\CANDY0013.png,2025-06-26,expired
CANDY\CANDY0014.png,2025-07-15,expiring_soon
CANDY\CANDY0015.png,2025-07-16,expiring_soon
CANDY\CANDY0016.png,2025-08-27,fresh
CANDY\CANDY0017.png,2025-07-11,expiring_soon
CANDY\CANDY0018.png,2025-06-30,expired
CANDY\CANDY0019.png,2025-06-30,expired
CANDY\CANDY0020.png,2025-07-07,expired
CANDY\CANDY0021.png,2025-09-05,fresh
CANDY\CANDY0022.png,2025-07-26,fresh
CANDY\CANDY0023.png,2025-08-31,fresh
CANDY\CANDY0024.png,2025-09-06,fresh
CANDY\CANDY0025.png,2025-07-31,fresh
CANDY\CANDY0026.png,2025-08-07,fresh
CANDY\CANDY0027.png,2025-06-29,expired
CANDY\CANDY0028.png,2025-08-29,fresh
CANDY\CANDY0029.png,2025-08-24,fresh
CANDY\CANDY0030.png,2025-07-10,expiring_soon
CANDY\CANDY0031.png,2025-08-24,fresh
CANDY\CANDY0032.png,2025-07-01,expired
CANDY\CANDY0033.png,2025-07-30,fresh
CANDY\CANDY0034.png,2025-07-07,expired
CANDY\CANDY0035.png,2025-07-19,expiring_soon
CANDY\CANDY0036.png,2025-08-06,fresh
CANDY\CANDY0037.png,2025-08-07,fresh
CANDY\CANDY0038.png,2025-08-22,fresh
CANDY\CANDY0039.png,2025-07-05,expired
CANDY\CANDY0040.png,2025-08-11,fresh
CANDY\CANDY0041.png,2025-08-13,fresh
CANDY\CANDY0042.png,2025-07-20,expiring_soon
CANDY\CANDY0043.png,2025-07-23,expiring_soon
CANDY\CANDY0044.png,2025-08-13,fresh
CANDY\CANDY0045.png,2025-07-02,expired
CANDY\CANDY0046.png,2025-08-17,fresh
CANDY\CANDY0047.png,2025-06-29,expired
CANDY\CANDY0048.png,2025-07-08,expiring_soon
CANDY\CANDY0049.png,2025-07-18,expiring_soon
CANDY\CANDY0050.png,2025-07-25,fresh
CANDY\CANDY0051.png,2025-07-28,fresh
CANDY\CANDY0052.png,2025-08-02,fresh
CANDY\CANDY0053.png,2025-08-18,fresh
CANDY\CANDY0054.png,2025-07-02,expired
CANDY\CANDY0055.png,2025-08-03,fresh
CANDY\CANDY0056.png,2025-09-03,fresh
CANDY\CANDY0057.png,2025-06-29,expired
CANDY\CANDY0058.png,2025-08-21,fresh
CANDY\CANDY0059.png,2025-07-14,expiring_soon
CANDY\CANDY0060.png,2025-07-08,expiring_soon
CANDY\CANDY0061.png,2025-08-25,fresh
CANDY\CANDY0062.png,2025-07-08,expiring_soon
CANDY\CANDY0063.png,2025-07-03,expired
CANDY\CANDY0064.png,2025-08-25,fresh
CANDY\CANDY0065.png,2025-06-30,expired
CANDY\CANDY0066.png,2025-08-12,fresh
CANDY\CANDY0067.png,2025-08-14,fresh
CANDY\CANDY0068.png,2025-07-23,expiring_soon
CANDY\CANDY0069.png,2025-07-21,expiring_soon
CANDY\CANDY0070.png,2025-08-10,fresh
CANDY\CANDY0071.png,2025-07-25,fresh
CANDY\CANDY0072.png,2025-07-29,fresh
CANDY\CANDY0073.png,2025-08-23,fresh
CANDY\CANDY0074.png,2025-08-09,fresh
CANDY\CANDY0075.png,2025-07-12,expiring_soon
CANDY\CANDY0076.png,2025-08-30,fresh
CANDY\CANDY0077.png,2025-08-17,fresh
CANDY\CANDY0078.png,2025-07-18,expiring_soon
CANDY\CANDY0079.png,2025-08-27,fresh
CANDY\CANDY0080.png,2025-08-14,fresh
CANDY\CANDY0081.png,2025-08-19,fresh
CANDY\CANDY0082.png,2025-07-05,expired
CANDY\CANDY0083.png,2025-08-21,fresh
CANDY\CANDY0084.png,2025-07-27,fresh
CANDY\CANDY0085.png,2025-07-13,expiring_soon
CANDY\CANDY0086.png,2025-09-04,fresh
CANDY\CANDY0087.png,2025-07-29,fresh
CANDY\CANDY0088.png,2025-07-23,expiring_soon
CANDY\CANDY0089.png,2025-06-26,expired
CANDY\CANDY0090.png,2025-08-01,fresh
CANDY\CANDY0091.png,2025-07-14,expiring_soon
CANDY\CANDY0092.png,2025-07-27,fresh
CANDY\CANDY0093.png,2025-08-02,fresh
CANDY\CANDY0094.png,2025-08-14,fresh
CANDY\CANDY0095.png,2025-08-01,fresh
CANDY\CANDY0096.png,2025-08-28,fresh
CANDY\CANDY0097.png,2025-07-10,expiring_soon
CANDY\CANDY0098.png,2025-08-11,fresh
CANDY\CANDY0099.png,2025-06-30,expired
CANDY\CANDY0100.png,2025-08-03,fresh
CANDY\CANDY0101.png,2025-07-05,expired
CANDY\CANDY0102.png,2025-07-31,fresh
CANDY\CANDY0103.png,2025-07-30,fresh
CANDY\CANDY0104.png,2025-06-29,expired
CANDY\CANDY0105.png,2025-07-30,fresh
CANDY\CANDY0106.png,2025-08-02,fresh
CANDY\CANDY0107.png,2025-07-24,fresh
CANDY\CANDY0108.png,2025-08-20,fresh
CANDY\CANDY0109.png,2025-08-26,fresh
CANDY\CANDY0110.png,2025-07-29,fresh
CANDY\CANDY0111.png,2025-07-24,fresh
CANDY\CANDY0112.png,2025-08-21,fresh
CANDY\CANDY0113.png,2025-08-22,fresh
CANDY\CANDY0114.png,2025-08-29,fresh
CANDY\CANDY0115.png,2025-09-02,fresh
CANDY\CANDY0116.png,2025-08-19,fresh
CANDY\CANDY0117.png,2025-07-01,expired
CANDY\CANDY0118.png,2025-07-09,expiring_soon
CANDY\CANDY0119.png,2025-08-23,fresh
CANDY\CANDY0120.png,2025-06-29,expired
CANDY\CANDY0121.png,2025-07-06,expired
CANDY\CANDY0122.png,2025-08-31,fresh
CANDY\CANDY0123.png,2025-07-12,expiring_soon
CANDY\CANDY0124.png,2025-07-21,expiring_soon
CANDY\CANDY0125.png,2025-08-20,fresh
CANDY\CANDY0126.png,2025-08-31,fresh
CANDY\CANDY0127.png,2025-07-29,fresh
CANDY\CANDY0128.png,2025-07-21,expiring_soon
CANDY\CANDY0129.png,2025-07-21,expiring_soon
CANDY\CANDY0130.png,2025-07-31,fresh
CANDY\CANDY0131.png,2025-07-12,expiring_soon
CANDY\CANDY0132.png,2025-08-05,fresh
CANDY\CANDY0133.png,2025-08-26,fresh
CANDY\CANDY0134.png,2025-08-02,fresh
CANDY\CANDY0135.png,2025-06-25,expired
CANDY\CANDY0136.png,2025-07-07,expired
CANDY\CANDY0137.png,2025-06-23,expired
CANDY\CANDY0138.png,2025-08-07,fresh
CANDY\CANDY0139.png,2025-08-31,fresh
CANDY\CANDY0140.png,2025-08-09,fresh
CANDY\CANDY0141.png,2025-07-17,expiring_soon
CANDY\CANDY0142.png,2025-08-28,fresh
CANDY\CANDY0143.png,2025-08-15,fresh
CANDY\CANDY0144.png,2025-06-28,expired
CANDY\CANDY0145.png,2025-08-18,fresh
CANDY\CANDY0146.png,2025-08-28,fresh
CANDY\CANDY0147.png,2025-06-25,expired
CANDY\CANDY0148.png,2025-08-21,fresh
CANDY\CANDY0149.png,2025-08-26,fresh
CANDY\CANDY0150.png,2025-08-04,fresh
CANDY\CANDY0151.png,2025-08-09,fresh
CANDY\CANDY0152.png,2025-08-26,fresh
CANDY\CANDY0153.png,2025-09-01,fresh
CANDY\CANDY0154.png,2025-06-23,expired
CANDY\CANDY0155.png,2025-09-01,fresh
CANDY\CANDY0156.png,2025-08-25,fresh
CANDY\CANDY0157.png,2025-07-16,expiring_soon
CANDY\CANDY0158.png,2025-09-06,fresh
CANDY\CANDY0159.png,2025-08-17,fresh
CANDY\CANDY0160.png,2025-07-31,fresh
CANDY\CANDY0161.png,2025-07-14,expiring_soon
CANDY\CANDY0162.png,2025-07-11,expiring_soon
CANDY\CANDY0163.png,2025-07-27,fresh
CANDY\CANDY0164.png,2025-07-07,expired
CANDY\CANDY0165.png,2025-08-21,fresh
CANDY\CANDY0166.png,2025-08-29,fresh
CANDY\CANDY0167.png,2025-07-06,expired
CANDY\CANDY0168.png,2025-07-10,expiring_soon
CANDY\CANDY0169.png,2025-09-02,fresh
CANDY\CANDY0170.png,2025-08-25,fresh
CANDY\CANDY0171.png,2025-08-22,fresh
CANDY\CANDY0172.png,2025-07-22,expiring_soon
CANDY\CANDY0173.png,2025-08-10,fresh
CANDY\CANDY0174.png,2025-07-04,expired
CANDY\CANDY0175.png,2025-06-26,expired
CANDY\CANDY0176.png,2025-08-03,fresh
CANDY\CANDY0177.png,2025-06-30,expired
CANDY\CANDY0178.png,2025-07-18,expiring_soon
CANDY\CANDY0179.png,2025-07-27,fresh
CANDY\CANDY0180.png,2025-06-27,expired
CANDY\CANDY0181.png,2025-08-30,fresh
CANDY\CANDY0182.png,2025-07-17,expiring_soon
CANDY\CANDY0183.png,2025-09-01,fresh
CANDY\CANDY0184.png,2025-07-12,expiring_soon
CANDY\CANDY0185.png,2025-07-21,expiring_soon
CANDY\CANDY0186.png,2025-08-11,fresh
CANDY\CANDY0187.png,2025-08-13,fresh
CANDY\CANDY0188.png,2025-06-28,expired
CANDY\CANDY0189.png,2025-08-12,fresh
CANDY\CANDY0190.png,2025-07-05,expired
CANDY\CANDY0191.png,2025-08-16,fresh
CANDY\CANDY0192.png,2025-06-23,expired
CANDY\CANDY0193.png,2025-08-21,fresh
CANDY\CANDY0194.png,2025-08-20,fresh
CANDY\CANDY0195.png,2025-08-23,fresh
CANDY\CANDY0196.png,2025-07-25,fresh
CANDY\CANDY0197.png,2025-09-06,fresh
CANDY\CANDY0198.png,2025-08-05,fresh
CANDY\CANDY0199.png,2025-08-16,fresh
CANDY\CANDY0200.png,2025-08-11,fresh
CANDY\CANDY0201.png,2025-07-05,expired
CANDY\CANDY0202.png,2025-08-21,fresh
CANDY\CANDY0203.png,2025-07-29,fresh
CANDY\CANDY0204.png,2025-08-13,fresh
CANDY\CANDY0205.png,2025-07-28,fresh
CANDY\CANDY0206.png,2025-07-09,expiring_soon
CANDY\CANDY0207.png,2025-08-14,fresh
CANDY\CANDY0208.png,2025-08-19,fresh
CANDY\CANDY0209.png,2025-09-01,fresh
CANDY\CANDY0210.png,2025-07-08,expiring_soon
CANDY\CANDY0211.png,2025-07-21,expiring_soon
CANDY\CANDY0212.png,2025-08-14,fresh
CANDY\CANDY0213.png,2025-08-27,fresh
CANDY\CANDY0214.png,2025-09-03,fresh
CANDY\CANDY0215.png,2025-07-21,expiring_soon
CANDY\CANDY0216.png,2025-07-19,expiring_soon
CANDY\CANDY0217.png,2025-08-13,fresh
CANDY\CANDY0218.png,2025-07-29,fresh
CANDY\CANDY0219.png,2025-07-04,expired
CANDY\CANDY0220.png,2025-07-13,expiring_soon
CANDY\CANDY0221.png,2025-06-27,expired
CANDY\CANDY0222.png,2025-07-28,fresh
CANDY\CANDY0223.png,2025-06-26,expired
CANDY\CANDY0224.png,2025-07-24,fresh
CANDY\CANDY0225.png,2025-07-01,expired
CANDY\CANDY0226.png,2025-06-28,expired
CANDY\CANDY0227.png,2025-08-16,fresh
CANDY\CANDY0228.png,2025-07-28,fresh
CANDY\CANDY0229.png,2025-07-09,expiring_soon
CANDY\CANDY0230.png,2025-07-16,expiring_soon
CANDY\CANDY0231.png,2025-06-30,expired
CANDY\CANDY0232.png,2025-07-23,expiring_soon
CANDY\CANDY0233.png,2025-07-14,expiring_soon
CANDY\CANDY0234.png,2025-06-29,expired
CANDY\CANDY0235.png,2025-07-08,expiring_soon
CANDY\CANDY0236.png,2025-08-01,fresh
CANDY\CANDY0237.png,2025-08-05,fresh
CANDY\CANDY0238.png,2025-08-26,fresh
CANDY\CANDY0239.png,2025-07-15,expiring_soon
CANDY\CANDY0240.png,2025-08-23,fresh
CANDY\CANDY0241.png,2025-07-22,expiring_soon
CANDY\CANDY0242.png,2025-08-02,fresh
CANDY\CANDY0243.png,2025-07-16,expiring_soon
CANDY\CANDY0244.png,2025-08-25,fresh
CANDY\CANDY0245.png,2025-08-22,fresh
CANDY\CANDY0246.png,2025-07-21,expiring_soon
CANDY\CANDY0247.png,2025-08-12,fresh
CANDY\CANDY0248.png,2025-08-20,fresh
CANDY\CANDY0249.png,2025-07-21,expiring_soon
CANDY\CANDY0250.png,2025-07-08,expiring_soon
CANDY\CANDY0251.png,2025-08-30,fresh
CANDY\CANDY0252.png,2025-07-26,fresh
CANDY\CANDY0253.png,2025-08-01,fresh
CANDY\CANDY0254.png,2025-07-08,expiring_soon
CANDY\CANDY0255.png,2025-06-25,expired
CANDY\CANDY0256.png,2025-07-13,expiring_soon
CANDY\CANDY0257.png,2025-07-14,expiring_soon
CANDY\CANDY0258.png,2025-07-25,fresh
CANDY\CANDY0259.png,2025-08-21,fresh
CANDY\CANDY0260.png,2025-07-18,expiring_soon
CANDY\CANDY0261.png,2025-08-08,fresh
CANDY\CANDY0262.png,2025-09-03,fresh
CANDY\CANDY0263.png,2025-07-26,fresh
CANDY\CANDY0264.png,2025-08-10,fresh
CANDY\CANDY0265.png,2025-07-02,expired
CANDY\CANDY0266.png,2025-08-04,fresh
CANDY\CANDY0267.png,2025-08-30,fresh
CANDY\CANDY0268.png,2025-08-24,fresh
CANDY\CANDY0269.png,2025-07-20,expiring_soon
CANDY\CANDY0270.png,2025-07-26,fresh
CANDY\CANDY0271.png,2025-07-10,expiring_soon
CANDY\CANDY0272.png,2025-07-31,fresh
CANDY\CANDY0273.png,2025-07-17,expiring_soon
CANDY\CANDY0274.png,2025-08-02,fresh
CANDY\CANDY0275.png,2025-06-25,expired
CANDY\CANDY0276.png,2025-07-20,expiring_soon
CANDY\CANDY0277.png,2025-07-10,expiring_soon
